Person,Item,Ratings
1,citrus fruit,9
1,semi-finished bread,7
1,margarine,8
1,ready soups,7
2,tropical fruit,9
2,yogurt,9
2,coffee,9
3,whole milk,9
4,pip fruit,9
4,yogurt,7
4,cream cheese ,8
4,meat spreads,8
5,other vegetables,9
5,whole milk,8
5,condensed milk,6
5,long life bakery product,6
6,whole milk,7
6,butter,7
6,yogurt,7
6,rice,9
6,abrasive cleaner,7
7,rolls/buns,4
8,other vegetables,9
8,UHT-milk,6
8,rolls/buns,7
8,bottled beer,5
8,liquor (appetizer),8
9,pot plants,6
10,whole milk,7
10,cereals,8
11,tropical fruit,9
11,other vegetables,9
11,white bread,6
11,bottled water,4
11,chocolate,7
12,citrus fruit,9
12,tropical fruit,9
12,whole milk,6
12,butter,5
12,curd,8
12,yogurt,7
12,flour,6
12,bottled water,7
12,dishes,8
13,beef,8
14,frankfurter,9
14,rolls/buns,9
14,soda,7
15,chicken,8
15,tropical fruit,9
16,butter,7
16,sugar,6
16,fruit/vegetable juice,8
16,newspapers,7
17,fruit/vegetable juice,8
18,packaged fruit/vegetables,9
19,chocolate,7
20,specialty bar,7
21,other vegetables,9
22,butter milk,5
22,pastry,6
23,whole milk,7
24,tropical fruit,9
24,cream cheese ,7
24,processed cheese,5
24,detergent,5
24,newspapers,7
25,tropical fruit,9
25,root vegetables,9
25,other vegetables,9
25,frozen dessert,8
25,rolls/buns,5
25,flour,6
25,sweet spreads,7
25,salty snack,8
25,waffles,6
25,candy,6
25,bathroom cleaner,7
26,bottled water,2
26,canned beer,8
27,yogurt,5
28,sausage,8
28,rolls/buns,6
28,soda,4
28,chocolate,7
29,other vegetables,9
30,brown bread,6
30,soda,4
30,fruit/vegetable juice,8
30,canned beer,8
30,newspapers,7
30,shopping bags,8
31,yogurt,8
31,beverages,4
31,bottled water,3
31,specialty bar,6
32,hamburger meat,7
32,other vegetables,9
32,rolls/buns,6
32,spices,9
32,bottled water,4
32,hygiene articles,7
32,napkins,7
33,root vegetables,9
33,other vegetables,9
33,whole milk,8
33,beverages,4
33,sugar,6
34,pork,8
34,berries,9
34,other vegetables,9
34,whole milk,8
34,whipped/sour cream,6
34,artif. sweetener,4
34,soda,4
34,abrasive cleaner,7
35,beef,8
35,grapes,9
35,detergent,5
36,pastry,6
36,soda,4
37,fruit/vegetable juice,8
38,canned beer,8
39,root vegetables,9
39,other vegetables,9
39,whole milk,8
39,dessert,6
40,citrus fruit,9
40,zwieback,8
40,newspapers,7
41,sausage,8
41,rolls/buns,8
41,soda,4
41,canned beer,8
41,specialty bar,8
41,shopping bags,8
42,tropical fruit,9
42,root vegetables,9
42,whole milk,8
42,yogurt,8
42,domestic eggs,8
42,brown bread,6
42,pastry,6
42,sugar,6
42,cereals,8
42,coffee,8
42,soda,4
42,waffles,6
42,candy,8
43,berries,9
43,yogurt,8
44,canned beer,8
45,butter milk,8
45,yogurt,8
45,cream cheese ,8
45,spread cheese,8
45,rolls/buns,8
45,bottled water,8
45,soda,4
45,newspapers,7
46,coffee,8
47,pastry,6
47,bottled water,8
48,rolls/buns,8
49,misc. beverages,8
50,root vegetables,9
50,other vegetables,9
50,butter,8
50,curd,8
50,whipped/sour cream,8
50,UHT-milk,8
50,hard cheese,8
50,rolls/buns,8
50,bottled water,8
50,long life bakery product,4
51,sausage,8
51,rolls/buns,8
51,cat food,8
51,newspapers,7
52,canned beer,8
53,ham,8
53,grapes,9
53,other vegetables,9
53,whole milk,8
54,turkey,5
54,tropical fruit,9
54,other vegetables,9
54,curd,8
54,domestic eggs,8
54,brown bread,6
54,semi-finished bread,8
54,margarine,8
54,baking powder,6
54,fruit/vegetable juice,8
55,whole milk,8
55,yogurt,8
55,processed cheese,8
55,pickled vegetables,8
55,soda,4
56,whole milk,8
56,curd,7
56,yogurt,8
56,pastry,6
57,packaged fruit/vegetables,9
57,brown bread,6
57,canned beer,8
58,rolls/buns,8
58,oil,8
58,bottled water,8
58,chewing gum,8
58,chocolate marshmallow,8
58,hygiene articles,7
58,napkins,7
59,ham,7
59,beef,8
59,whipped/sour cream,8
59,ice cream,8
59,rolls/buns,8
59,cat food,8
60,rolls/buns,8
60,pastry,6
60,sugar,6
61,other vegetables,9
61,whole milk,8
61,frozen vegetables,8
61,canned fish,8
61,salty snack,8
61,seasonal products,7
61,detergent,5
62,sausage,8
62,pastry,6
63,sausage,8
63,beef,8
63,whole milk,8
64,frankfurter,8
64,tropical fruit,9
64,rolls/buns,8
64,brown bread,6
64,sugar,6
65,rolls/buns,8
65,pastry,6
65,soda,4
66,whole milk,8
67,curd cheese,5
